company_name,base_url,mission,products_services,founded_year,founders,headquarters,key_executives,awards,last_updated,source_urls
Apple.com,https://www.apple.com/leadership,Not Available,"iPhone, Apple Watch",,,,Tim Cook - CEO; Jeff Williams - Chief Operating Officer; Kristin Huguet Quayle - Vice President of Worldwide Communications,,2025-03-28 14:49:26,https://www.apple.com/leadership; https://www.apple.com/leadership/kristin-huguet-quayle/; https://www.apple.com/leadership/jeff-williams/; https://www.apple.com/leadership/lisa-jackson/
Samsung.com,https://www.samsung.com/in/about-us/company-info,"Samsung follows a simple business philosophy: to devote its talent and technology to creating superior products and services that contribute to a better global society. To achieve this, Samsung sets a high value on its people and technologies.","TVs, smartphones, semiconductors, home appliances, IT solutions",1938,Lee Byung-chul,"Seoul, South Korea",,"Ranked Global Top 5 brand for the 4th consecutive year with brand value of $91.4 billion
Topped global TV market for 17th consecutive year
Won 80 awards at iF Design Awards 2023 including Gold for Bespoke Infinite Line of kitchen appliances
Received highest level of global certification from the Alliance for Water Stewardship",2025-03-28 14:49:36,https://www.samsung.com/in/about-us/company-info; https://www.samsung.com/in/about-us/company-info/
Shell.com,https://www.shell.com/who-we-are/our-values.html,To power progress together through more and cleaner energy solutions.,"Oil, Gas, Renewables, Petrochemicals, Retail and Trading",,,"The Hague, Netherlands",,,2025-03-28 14:49:42,https://www.shell.com/who-we-are/our-values.html
Jpmorganchase.com,https://www.jpmorganchase.com/about/business-principles,"We power economic growth, serving our customers, clients and communities for over 225 years. We uplift communities around the world, making tangible impact at scale.",Financial services,,,,Jamie Dimon - Chairman and CEO,,2025-03-28 14:49:46,https://www.jpmorganchase.com/about/business-principles; https://www.jpmorganchase.com/about/business-principles
Global.toyota,https://global.toyota/en/company/profile/overview,Not available from the provided text.,Motor vehicle production and sales,1937,Not available from the provided text.,"Toyota City, Japan","Koji Sato - President, Member of the Board of Directors (Representative Director);",,2025-03-28 14:49:54,https://global.toyota/en/company/profile/overview
Pfizer.com,https://www.pfizer.com/about,We’re in relentless pursuit of breakthroughs that change patients’ lives. We innovate every day to make the world a healthier place.,"medicines, vaccines",1849,"Charles Pfizer, Charles Erhart","New York, USA",Not available in provided text,,2025-03-28 14:50:03,https://www.pfizer.com/about; https://www.pfizer.com/about/responsibility/EHS-supply-chain; https://www.pfizer.com/about/programs-policies/grants; https://www.pfizer.com/about/responsibility/global-impact
Thewaltdisneycompany.com,https://thewaltdisneycompany.com/about,"The mission of The Walt Disney Company is to entertain, inform and inspire people around the globe through the power of unparalleled storytelling, reflecting the iconic brands, creative minds and innovative technologies that make ours the world’s premier entertainment company.","Theme Parks, Resorts, Cruise Line, Media Networks, Studio Entertainment, Direct-to-Consumer & International",,,"Burbank, USA",Robert A. Iger - Chief Executive Officer;Tinisha Agramonte - Senior Vice President and Chief Diversity Officer;Asad Ayaz - Chief Brand Officer,"* One of the “Most Reputable Companies” in both America and the world by Forbes magazine (2006–2019)
* One of the “Best Employers” in both America and the world by Forbes magazine (2019 and 2018, respectively)
* One of the “World's Most Admired Companies” by Fortune magazine (2009–2021)
* One of the “World's Most Respected Companies” by Barron’s (2009–2017)",2025-03-28 14:50:12,https://thewaltdisneycompany.com/about; https://thewaltdisneycompany.com/about/#our-businesses; https://thewaltdisneycompany.com/about/; https://thewaltdisneycompany.com/about/#leadership
Nestle.com,https://www.nestle.com/about/management,,,,,,,,2025-03-28 14:50:23,https://www.nestle.com/about/management
Siemens.com,https://www.siemens.com/global/en/company/about.html,"Our technology empowers customers to transform the industries that form the backbone of economies: industry, transportation, buildings and grids. Our solutions accelerate the digital transformation of multiple industries, to scale sustainability impact.","industry, transportation, buildings, grids, digital transformation solutions",,,,,,2025-03-28 14:50:26,https://www.siemens.com/global/en/company/about.html
Nike.com,https://about.nike.com/en/company,"NIKE, Inc. is a team comprised of the Nike, Jordan and Converse brands driven by a shared purpose to leave an enduring impact. We take action to create a future of continual progress for athletes, sport and our world.","footwear, apparel, equipment",,,"Beaverton, USA",Philip H. Knight - Chairman Emeritus; Mark Parker - Executive Chairman; Elliott Hill - President & CEO,,2025-03-28 14:50:32,https://about.nike.com/en/company; https://about.nike.com/en/company
